,日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2026-04-01,000001,11.09,11.15,11.23,11.08,918925,1025538832.67,1.35,0.63,0.07,0.47
1,2026-04-02,000001,11.15,11.27,11.32,11.13,1148895,1292756711.67,1.7,1.08,0.12,0.59
2,2026-04-03,000001,11.28,11.12,11.28,11.09,757757,845283641.29,1.69,-1.33,-0.15,0.39
3,2026-04-07,000001,11.12,11.03,11.14,10.97,607955,671322754.77,1.53,-0.81,-0.09,0.31
4,2026-04-08,000001,11.11,11.22,11.22,11.05,812976,906308305.45,1.54,1.72,0.19,0.42
5,2026-04-09,000001,11.17,11.1,11.22,11.06,602365,669239285.37,1.43,-1.07,-0.12,0.31
6,2026-04-10,000001,11.1,11.09,11.13,11.07,481047,534088990.51,0.54,-0.09,-0.01,0.25
7,2026-04-13,000001,11.05,11.07,11.09,11.03,406104,449056813.73,0.54,-0.18,-0.02,0.21
8,2026-04-14,000001,11.07,11.17,11.17,11.07,496151,551741632.58,0.9,0.9,0.1,0.26
9,2026-04-15,000001,11.16,11.21,11.22,11.15,503938,564031568.33,0.63,0.36,0.04,0.26
10,2026-04-16,000001,11.2,11.09,11.23,11.07,680915,758006903.42,1.43,-1.07,-0.12,0.35
11,2026-04-17,000001,11.09,11.01,11.11,10.99,722530,797678405.53,1.08,-0.72,-0.08,0.37
12,2026-04-20,000001,11.01,11.06,11.07,10.96,630034,695097193.51,1.0,0.45,0.05,0.32
13,2026-04-21,000001,11.04,11.08,11.16,11.03,806946,896659539.18,1.18,0.18,0.02,0.42
14,2026-04-22,000001,11.08,10.98,11.09,10.95,839054,923203009.35,1.26,-0.9,-0.1,0.43
15,2026-04-23,000001,10.98,11.0,11.03,10.93,648067,711757543.31,0.91,0.18,0.02,0.33
16,2026-04-24,000001,10.98,11.0,11.03,10.92,582710,639781173.32,1.0,0.0,0.0,0.3
17,2026-04-27,000001,11.33,11.38,11.57,11.29,3401276,3891707615.21,2.55,3.45,0.38,1.75
18,2026-04-28,000001,11.36,11.46,11.46,11.32,1674259,1908333958.72,1.23,0.7,0.08,0.86
19,2026-04-29,000001,11.43,11.52,11.54,11.39,1378423,1583294868.98,1.31,0.52,0.06,0.71
20,2026-04-30,000001,11.5,11.49,11.6,11.46,1139242,1312827775.76,1.22,-0.26,-0.03,0.59
21,2026-05-06,000001,11.5,11.36,11.5,11.3,1216388,1380730921.13,1.74,-1.13,-0.13,0.63
22,2026-05-07,000001,11.37,11.37,11.39,11.3,936958,1062755238.5,0.79,0.09,0.01,0.48
23,2026-05-08,000001,11.34,11.3,11.42,11.3,798820,905737835.21,1.06,-0.62,-0.07,0.41
24,2026-05-11,000001,11.29,11.23,11.29,11.16,543185,609703303.8,1.15,-0.62,-0.07,0.28
